sample,hic_dir,assembly,meryldb,agp,version,date,genomesize
OG114,/scratch/pawsey0964/lhuet/post_curation/OG114/hic,/scratch/pawsey0964/lhuet/post_curation/OG114/assembly,/scratch/pawsey0964/lhuet/post_curation/OG114/meryl,/scratch/pawsey0964/lhuet/post_curation/OG114/agp,hic2,,1555140873.0
OG54,/scratch/pawsey0964/lhuet/post_curation/OG54/hic,/scratch/pawsey0964/lhuet/post_curation/OG54/assembly,/scratch/pawsey0964/lhuet/post_curation/OG54/meryl,/scratch/pawsey0964/lhuet/post_curation/OG54/agp,hic2,,821024877.0
OG57,/scratch/pawsey0964/lhuet/post_curation/OG57/hic,/scratch/pawsey0964/lhuet/post_curation/OG57/assembly,/scratch/pawsey0964/lhuet/post_curation/OG57/meryl,/scratch/pawsey0964/lhuet/post_curation/OG57/agp,hic2,v231027,532109732.0
OG58,/scratch/pawsey0964/lhuet/post_curation/OG58/hic,/scratch/pawsey0964/lhuet/post_curation/OG58/assembly,/scratch/pawsey0964/lhuet/post_curation/OG58/meryl,/scratch/pawsey0964/lhuet/post_curation/OG58/agp,hic2,,447389165.0
OG666,/scratch/pawsey0964/lhuet/post_curation/OG666/hic,/scratch/pawsey0964/lhuet/post_curation/OG666/assembly,/scratch/pawsey0964/lhuet/post_curation/OG666/meryl,/scratch/pawsey0964/lhuet/post_curation/OG666/agp,hic2,,1052171519.0
OG679,/scratch/pawsey0964/lhuet/post_curation/OG679/hic,/scratch/pawsey0964/lhuet/post_curation/OG679/assembly,/scratch/pawsey0964/lhuet/post_curation/OG679/meryl,/scratch/pawsey0964/lhuet/post_curation/OG679/agp,hic2,,640668596.0
OG681,/scratch/pawsey0964/lhuet/post_curation/OG681/hic,/scratch/pawsey0964/lhuet/post_curation/OG681/assembly,/scratch/pawsey0964/lhuet/post_curation/OG681/meryl,/scratch/pawsey0964/lhuet/post_curation/OG681/agp,hic2,,758041015.0
OG686,/scratch/pawsey0964/lhuet/post_curation/OG686/hic,/scratch/pawsey0964/lhuet/post_curation/OG686/assembly,/scratch/pawsey0964/lhuet/post_curation/OG686/meryl,/scratch/pawsey0964/lhuet/post_curation/OG686/agp,hic2,,558603285.0
OG748,/scratch/pawsey0964/lhuet/post_curation/OG748/hic,/scratch/pawsey0964/lhuet/post_curation/OG748/assembly,/scratch/pawsey0964/lhuet/post_curation/OG748/meryl,/scratch/pawsey0964/lhuet/post_curation/OG748/agp,hic2,,816230411.0
OG758,/scratch/pawsey0964/lhuet/post_curation/OG758/hic,/scratch/pawsey0964/lhuet/post_curation/OG758/assembly,/scratch/pawsey0964/lhuet/post_curation/OG758/meryl,/scratch/pawsey0964/lhuet/post_curation/OG758/agp,hic2,,523203132.0
OG784,/scratch/pawsey0964/lhuet/post_curation/OG784/hic,/scratch/pawsey0964/lhuet/post_curation/OG784/assembly,/scratch/pawsey0964/lhuet/post_curation/OG784/meryl,/scratch/pawsey0964/lhuet/post_curation/OG784/agp,hic2,,626428492.0
OG99,/scratch/pawsey0964/lhuet/post_curation/OG99/hic,/scratch/pawsey0964/lhuet/post_curation/OG99/assembly,/scratch/pawsey0964/lhuet/post_curation/OG99/meryl,/scratch/pawsey0964/lhuet/post_curation/OG99/agp,hic2,,667090715.0
