file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	og_id	seq_date	stage	haplotype
OG37_v240116.hic1.3.curated.hap1	FASTA	DNA	24	592189555	13993842	24674564.8	31644633	OG37	240116	3	hap1
OG37_v240116.hic1.3.curated.hap1	FASTA	DNA	120	10080691	8998	84005.8	3305465	OG37	240116	3	hap1
OG37_v240116.hic1.3.curated.hap1	FASTA	DNA	144	602270246	8998	4182432.3	31644633	OG37	240116	3	hap1
OG37_v240116.hic1.3.curated.hap2	FASTA	DNA	24	591651839	13898973	24652160	31650722	OG37	240116	3	hap2
OG37_v240116.hic1.3.curated.hap2	FASTA	DNA	120	12167505	4518	101395.9	4082286	OG37	240116	3	hap2
OG37_v240116.hic1.3.curated.hap2	FASTA	DNA	144	603819344	4518	4193189.9	31650722	OG37	240116	3	hap2
OG62_v250307.hic1.3.curated.hap1	FASTA	DNA	23	543862391	8309906	23646190.9	36489033	OG62	250307	3	hap1
OG62_v250307.hic1.3.curated.hap1	FASTA	DNA	1191	64057284	3306	53784.5	811412	OG62	250307	3	hap1
OG62_v250307.hic1.3.curated.hap1	FASTA	DNA	1214	607919675	3306	500757.6	36489033	OG62	250307	3	hap1
OG62_v250307.hic1.3.curated.hap2	FASTA	DNA	25	516681564	218940	20667262.6	35079683	OG62	250307	3	hap2
OG62_v250307.hic1.3.curated.hap2	FASTA	DNA	1325	71101557	2422	53661.6	1165706	OG62	250307	3	hap2
OG62_v250307.hic1.3.curated.hap2	FASTA	DNA	1350	587783121	2422	435394.9	35079683	OG62	250307	3	hap2
OG680_v241004.hic1.3.curated.hap1	FASTA	DNA	20	481201480	15045668	24060074	40310370	OG680	241004	3	hap1
OG680_v241004.hic1.3.curated.hap1	FASTA	DNA	71	14961711	15385	210728.3	949796	OG680	241004	3	hap1
OG680_v241004.hic1.3.curated.hap1	FASTA	DNA	91	496163191	15385	5452342.8	40310370	OG680	241004	3	hap1
OG680_v241004.hic1.3.curated.hap2	FASTA	DNA	21	488407200	1102650	23257485.7	40587524	OG680	241004	3	hap2
OG680_v241004.hic1.3.curated.hap2	FASTA	DNA	58	24480484	30794	422077.3	2529799	OG680	241004	3	hap2
OG680_v241004.hic1.3.curated.hap2	FASTA	DNA	79	512887684	30794	6492249.2	40587524	OG680	241004	3	hap2
OG85_v240927.hic1.3.curated.hap1	FASTA	DNA	24	686780842	15000277	28615868.4	34972378	OG85	240927	3	hap1
OG85_v240927.hic1.3.curated.hap1	FASTA	DNA	70	8651004	12640	123585.8	633550	OG85	240927	3	hap1
