sample	solid_k_mers	total_k_mers	completeness
OG113_v231028.hic1.3.curated.hap1	598942080	667868655	89.6796
OG113_v231028.hic1.3.curated.hap2	599203540	667868655	89.7188
OG113_v231028.hic1.3.curated.dual	662172215	667868655	99.1471
OG37_v240116.hic1.3.curated.hap1	557896296	648990889	85.9637
OG37_v240116.hic1.3.curated.hap2	557998308	648990889	85.9794
OG37_v240116.hic1.3.curated.dual	648321302	648990889	99.8968
OG38_v230609.hic1.3.curated.hap1	641508215	767978183	83.5321
OG38_v230609.hic1.3.curated.hap2	641480786	767978183	83.5285
OG38_230609.hic1.3.curated.dual	765383665	767978183	99.6622
OG62_v250307.hic1.3.curated.hap1	517215824	543162832	95.223
OG62_v250307.hic1.3.curated.hap2	503296475	543162832	92.6603
OG62_v250307.hic1.3.curated.dual	539003995	543162832	99.2343
OG649_v240417.hic1.3.curated.hap1	552337819	586705073	94.1423
OG649_v240417.hic1.3.curated.hap2	552459166	586705073	94.163
OG649_v240417.hic1.3.curated.dual	585587555	586705073	99.8095
OG654_v240327.hic1.3.curated.hap1	734068867	804624342	91.2313
OG654_v240327.hic1.3.curated.hap2	732724585	804624342	91.0642
OG654_v240327.hic1.3.curated.dual	802465236	804624342	99.7317
OG665_v240501.hic2.3.curated.hap1	588633137	660499974	89.1193
OG665_v240501.hic2.3.curated.hap2	588818031	660499974	89.1473
OG665_v240501.hic2.3.curated.dual	659167639	660499974	99.7983
OG680_v241004.hic1.3.curated.hap1	453570916	470253239	96.4525
OG680_v241004.hic1.3.curated.hap2	454202946	470253239	96.5869
OG680_v241004.hic1.3.curated.dual	469089669	470253239	99.7526
OG762_v241019.hic1.3.curated.hap1	578370170	678722208	85.2146
OG762_v241019.hic1.3.curated.hap2	578055877	678722208	85.1683
OG762_v241019.hic1.3.curated.dual	677190631	678722208	99.7743
OG799_v241019.hic1.3.curated.hap1	645527441	847205230	76.1949
OG799_v241019.hic1.3.curated.hap2	645723663	847205230	76.2181
OG799_v241019.hic1.3.curated.dual	845931145	847205230	99.8496
OG85_v240927.hic1.3.curated.hap1	619657872	663149836	93.4416
OG85_v240927.hic1.3.curated.hap2	619449943	663149836	93.4103
OG85_v240927.hic1.3.curated.dual	661981579	663149836	99.8238
OG855_v240821.hic1.3.curated.hap1	628183050	642438924	97.781
OG855_v240821.hic1.3.curated.hap2	628077779	642438924	97.7646
OG855_v240821.hic1.3.curated.dual	641749391	642438924	99.8927
OG856_v240821.hic1.3.curated.hap1	628287426	763280619	82.3141
OG856_v240821.hic1.3.curated.hap2	628495612	763280619	82.3414
OG856_v240821.hic1.3.curated.dual	761068302	763280619	99.7102
